question,answer_llm,answer_orig,document
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students join via **YouTube Live**, not the Zoom link.

- The **Zoom link is only for instructors/presenters/TAs**.
- The **live video URL is posted in the announcements channel on Telegram and Slack** before the session starts.
- The stream is also available on the **DataTalksClub YouTube Channel**.
- For questions during the live session, students should use **Slido** (the link is pinned in chat when live), not the Zoom chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live video link for an upcoming office hours session before it starts?,"You can find it in the **announcements channel on Telegram and Slack** before the session starts. The video URL is posted there, and you can also watch live on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I’m watching a live session as a student, should I ask questions in the chat or use something else?","Use **Slido**, not the chat. Students watch the live session via **YouTube Live**, and questions should be submitted in **Slido** (the link is pinned in the chat when live). The chat can be busy, so questions posted there may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to submit questions during the live workshop or office hours stream?,"The best way is to submit your questions on **Slido** during the live session. The Slido link is **pinned in the chat** when the stream is live.

Also, **don’t post questions in the chat**, since they may get missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the course office hours live on YouTube, and where do I get the link?","Yes — you can watch the office hours live on the DataTalksClub YouTube channel.

The link to the live video is usually posted in the announcements channel on Telegram and Slack before the session starts. When live, the YouTube Live link is also available on the DataTalksClub YouTube Channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What's the best way to get started with LLM Zoomcamp if I'm joining late?,"You can start whenever you want — the videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A good way to catch up is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

If you’re joining late, also start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where should I look first for the course materials, docs, and repo before following along?","Start with the:

1. [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

These are the best places to look first before following along.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do the weekly lessons and homework usually work in this course?,"A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework usually follows the same flow as the lessons, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start on a specific date, or can I begin the course whenever I want?","You can begin whenever you want. The videos, GitHub materials, and homework deadlines are available in the course platform, so there’s no need to start on a specific date.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual order for watching videos, doing notebooks, reading homework, and submitting answers?","The usual order is:

1. Watch the lesson videos  
2. Work through the notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers on the course platform","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my entry on the leaderboard if I can’t spot my name right away?,Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why did I get a random display name instead of my real name on the leaderboard?,"You got a random display name because the leaderboard uses your separate **public nickname/display name**, which is **anonymous by default** and automatically assigned as a random nickname like “Lucid Elbakyan.”

Your **real name** goes in the **certificate field**, and that name is only used on your certificate, not on the public leaderboard.

If you want to change the leaderboard name, go to **Edit Course Profile** and update the **first field** (display name/nickname).","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what nickname or display name is currently shown for my course account?,"Click **“Edit Course Profile”**. The **first field** shows your current public nickname/display name for the leaderboard, and you can change it there.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the name that appears publicly on the leaderboard to my Slack or GitHub handle?,"Yes. You can change the public leaderboard name in **Edit Course Profile**.

- The **first field** is your public nickname/display name.
- You can set it to your **Slack username, GitHub username, or any other nickname** you want.
- The **second field** is for your official name and is used on your certificate.

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I put in my profile if I want my certificate to show my real official name instead of the default one?,Put your official real name in the **second field** of **Edit Course Profile**. That is the name that will appear on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take the course at my own pace and still earn the certificate, or do I need to be in a live cohort?","Yes—you can work through the material at your own pace, but to earn the certificate you must complete the course with a live cohort.

You need to:
- finish the capstone project,
- complete the required peer reviews,
- and submit them while a live cohort is still accepting submissions.

Homework is not required for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
What do I have to complete to get the certificate in this course?,"To get the certificate, you need to:

- finish the course with a live cohort,
- complete a capstone project,
- complete the required peer reviews.

Homework is not required.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Do I need to do all the homework to receive the certificate, or is the capstone enough?","No — homework is not required for the certificate. The capstone project is the key requirement, along with the required peer reviews. Homework is optional, though recommended.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I study in self-paced mode, can I later submit the project and do peer reviews for the certificate?","No. You can prepare the project in self-paced mode, but to get the certificate, the project submission and the required peer reviews must happen while a live cohort is open. If you miss the live cohort’s submission/review window, it won’t count toward the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Is the certificate available only when I finish the course with a live cohort?,"Yes. You can only get a certificate if you finish the course with a live cohort. You can study in self-paced mode, but the capstone project submission and required peer reviews must happen while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Do I still qualify for the certificate if I skipped the first homework?,"Yes. You can still qualify for the certificate even if you skipped the first homework. You just need to pass the Capstone project to get the certificate; homework is not mandatory, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is homework actually required to get the course certificate?,No. Homework is not required for the certificate. You only need to pass the Capstone project and complete the required peer reviews.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I need to pass in order to receive the certificate?,"To receive the certificate, you need to **finish a capstone project** and **complete the required peer reviews**.

Homework is **not required**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework is optional, does it still affect anything like ranking or points?","Yes. Homework is optional, but the points still count toward your leaderboard rank. It does not affect your certificate, since only the Capstone is mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Can I miss some homework and still finish the course with a certificate?,"Yes. Homework is **not mandatory** for the certificate. You can miss some homework and still get a certificate as long as you:

- **pass the Capstone project**, and
- **complete the required peer reviews**, and
- do this **while a live cohort is still accepting submissions**.

Homework points are optional and mainly affect your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing sometimes?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet. Until the homework form is open on the course management platform and the title no longer contains `[DRAFT]`, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,It means the homework is **not ready yet**.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When can I treat a homework assignment as final and start working on it safely?,"You can treat a homework assignment as final and start working on it safely only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If either condition is not met, the content can still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is homework ready as soon as it shows up in the course platform, or only after something else happens?","Homework is ready only after **both** happen:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

So it’s **not ready just because it appears on the platform**.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Can I trust the homework content before the draft tag is gone, or could it still be updated later?","No — if the homework title still contains `[DRAFT]`, you should not trust it as final. The content can still change until the homework is ready, which is only when:

- the homework form is open, and
- the title no longer contains `[DRAFT]`.

Until then, it’s still subject to updates.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is llm-zoomcamp going to run again?,I don't know.,Summer 2027.,bd31146b0e
Do you know the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a planned date for the next llm-zoomcamp session?,I don't know.,Summer 2027.,bd31146b0e
When can I expect the course to be available again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next offering of the course after this one?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**. If you’re unsure, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main page or repo I should open first to get to the lesson videos?,"Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point:

https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there; each lesson page has the relevant **video links at the top**. If there’s any doubt, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I know which video goes with each lesson in the course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the lesson folders there — **each lesson page has the relevant videos linked at the top**.

When in doubt, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Do the lesson pages in the GitHub repo have the lecture links at the top?,Yes. The context says each lesson page in the GitHub repo has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repository or the YouTube playlist as the main source for the videos?,"Use the **GitHub repository as the main source** for the videos.

The lesson folders in the repo have the relevant video links at the top, and when in doubt, follow the GitHub repo first because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I go to keep track of the LLM Zoomcamp syllabus and homework deadlines?,"Use the **LLM Zoomcamp course management platform** to track the syllabus, homework, deadlines, and your progress:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for checking my progress in LLM Zoomcamp?,"Yes — the course management platform is used to track your syllabus, deadlines, homework, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I see the current cohort structure and assigned homework for this zoomcamp?,"Use the current cohort’s **course management platform**:

[LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)

It contains the **current cohort structure, homework, deadlines, and progress tracking**. For homework details, you can also check the course GitHub repo, especially the module’s homework instructions.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the official place to follow deadlines and progress updates for LLM Zoomcamp?,"The official place to follow deadlines and progress updates is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp use a management platform like the other DataTalks.Club Zoomcamps?,"Yes. LLM Zoomcamp uses a course management platform, just like the other DataTalks.Club Zoomcamps. The current cohort platform is here:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s used for deadlines, homework, progress tracking, and capstone project submission.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live sessions or office hours for every module in the course, or is it mostly recorded material?","There are no separate live sessions for every module by default. The module materials are mostly pre-recorded and available in the course repo.

Live sessions, when they happen, are announced separately. If you get stuck, you should ask in Slack and follow the questions guidelines.

There is also optional extra support through AI Shipping Labs, which includes regular Zoom office hours, but that is paid and separate from the free course content.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If there aren’t regular live classes, where should I ask when I get stuck on a module?","Ask your question in **Slack**, and follow the **asking questions guidelines**. If you want extra regular support, there’s also the optional paid **AI Shipping Labs** community with Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when a live session is happening for this course?,"Live sessions are announced separately when they happen. The course materials are mostly pre-recorded, and there are no separate live sessions for every module by default.

To find out when a live session is happening:
- Check the **announcements channel on Telegram and Slack**
- Watch the **DataTalksClub YouTube channel**
- For live sessions, the video URL is posted before it begins, and the link is pinned in chat when live

If you want, I can also tell you how to join and submit questions during a live session.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
