question,document
Where does my code live while I’m working in GitHub Codespaces?,610ccb23c0
"Do I need to commit often in Codespaces, or is the VM storage enough?",610ccb23c0
What happens to my files in Codespaces if the session stops or the VM gets deleted?,610ccb23c0
Is it safe to leave code only in Codespaces without pushing it to GitHub?,610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How do I increase the RAM available to WSL2 on Windows?,f3dd94f323
Where do I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
"What should I write in .wslconfig to allocate, say, 8GB to WSL2?",f3dd94f323
"After changing WSL2 memory settings, how can I check that the new RAM limit actually applied?",f3dd94f323
"Why does my GitHub Codespace keep getting stuck on ""Finishing up,"" and what can I try to get it to connect again?",830f3d2018
"If my Codespace won't open in VS Code desktop, is there a workaround that usually helps?",830f3d2018
What should I do when it looks like my Codespace setup disappeared after restarting or rebuilding it?,830f3d2018
"Do files in `/workspaces` survive a stop/start in Codespaces, or can they be lost somehow?",830f3d2018
"If Codespaces keeps acting flaky, is there a way to run the course somewhere else instead?",830f3d2018
"Can I skip OpenAI and use Groq, OpenRouter, or some other LLM API instead for the course?",c6ff9083c0
"If the provider used in the lessons is blocked where I live, what are my options to keep following along?",c6ff9083c0
Do I need to change a lot in the course code if I switch to another model provider that supports an OpenAI-style API?,c6ff9083c0
Is it okay to run the model locally with something like Ollama or vLLM instead of calling an external API?,c6ff9083c0
What’s the easiest way to pick an LLM setup that works with the course if I want to avoid OpenAI entirely?,c6ff9083c0
How can I stop 429 errors from happening in my notebook when it loops over lots of documents?,8e21752415
What’s the easiest way to deal with OpenAI rate limits during the RAG module work?,8e21752415
Should I make the worker pool smaller if I keep getting rate-limit errors from OpenAI?,8e21752415
Do embeddings and LLM outputs need to be cached so I don’t call the API again on reruns?,8e21752415
"If I get a 429, is that always a rate limit problem, or can it be a billing/quota issue too?",8e21752415
How do I print the full LLM response so I can see tool calls and token usage fields?,4a2c64c6e7
"If the API returns a Pydantic model, what’s the easiest way to turn it into JSON and inspect all the keys?",4a2c64c6e7
"In a notebook or terminal, how can I view a complete response object to find where the generated text and usage info live?",4a2c64c6e7
What’s the best way to adapt the course parsing code when another provider uses different response field names?,4a2c64c6e7
"How do I figure out whether my API puts function/tool calls under `tool_calls`, `tools`, or some other nested structure?",4a2c64c6e7
"Why does uv keep picking the venv from my old project, and how can I make it use the one in the current folder?",91675fa206
"If I have several projects with their own .venv folders, what steps should I follow so uv switches to the right environment?",91675fa206
Do I need to deactivate the current virtualenv before running uv venv in another project directory?,91675fa206
How can I check that python is coming from the project-specific .venv after activating it?,91675fa206
What should I do when uv seems stuck on the previous environment even after I change folders?,91675fa206
"I added a package in GitHub Codespaces, but my Jupyter notebook still says module not found. How can I check if the notebook is using the wrong Python?",74486f4c87
"What should I run in a notebook to see which interpreter the kernel is using, and how do I compare that with the environment in Codespaces?",74486f4c87
"If `uv pip list` shows the package is installed but the import still fails in the notebook, what environment should I switch to?",74486f4c87
How do I change the Jupyter kernel in Codespaces so it uses the repo's `.venv` instead of some other Python install?,74486f4c87
"After picking a different kernel in the notebook, do I need to restart anything before trying the import again?",74486f4c87
"In agentic RAG, what exactly counts as a tool or function, and what is it used for?",c296ea5a21
"Do I need to worry about the difference between tools and functions in this module, or are they basically the same thing?",c296ea5a21
Can you give a few examples of things a model might call as a tool in agentic RAG?,c296ea5a21
How is tool calling in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
When does the model decide to use a tool or function instead of just answering directly?,c296ea5a21
Are there any free LLMs that can do tool use for a project or prototype?,0d74a3616f
"Which Groq models support tool use without paying, like Deepseek R1 or Llama 4?",0d74a3616f
"Do providers like Mistral, Gemini, or Ollama also support function calling or tools?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tool calling?",0d74a3616f
Where can I read the docs for Groq tool use and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API with a model from another provider like Mistral or Groq?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or should it work with Gemini and other non-OpenAI models too?",9e7b3f0c25
What should I use instead of `response.output` if my LLM provider only supports the older chat completions interface?,9e7b3f0c25
How do I change my code to work with `response.choices[0].message.content` instead of the Responses API output field?,9e7b3f0c25
Can I still use `chat.completions` for the homework or project if the Responses API doesn't fit my provider?,9e7b3f0c25
How do I fix the Azure OpenAI 400 error that says tools[0].function is missing?,b9c7c6bb34
What should the get_weather_tool JSON look like for Agentic RAG in module 1?,b9c7c6bb34
"Why am I getting ""Missing required parameter: 'tools[0].function'"" even though my tool is set up?",b9c7c6bb34
Can you show the correct function-tool schema for get_weather in Azure OpenAI?,b9c7c6bb34
What changes do I need to make so Azure OpenAI accepts my weather tool definition?,b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or another non-OpenAI model, and what should I switch to?",0224d980b3
How can I make toyaikit work with Groq using an OpenAI-compatible setup without hitting the Responses API?,0224d980b3
What’s the right toyaikit runner/client combo for Anthropic instead of OpenAI?,0224d980b3
Do I need to use `runner.loop(prompt=...)` or `runner.run()` if I just want to call toyaikit from code?,0224d980b3
Which model names and API setup should I use so Anthropic or Groq doesn’t fail with a 404 in toyaikit?,0224d980b3
Where do I actually find the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is there a GitHub page with the homework instructions, or should I look only on the course platform?",53f15299b6
"For Module 1, where are the homework links posted and which one has the extra context?",53f15299b6
Do I need the repo link or the platform link to get the homework assignment and submit it?,53f15299b6
What’s the best place to check for the 2026 Module 1 homework details and deadlines?,53f15299b6
Why am I getting an empty list back after filtering my query in the Module 1 homework?,83da208a64
Could this be happening because I indexed the data in the wrong order for HW Q3?,83da208a64
"Do I need to set the index settings before loading documents, or can I add them later?",83da208a64
"If my filter returns no results, what should I check first in the homework code?",83da208a64
What usually causes an empty response when I apply filters and a query in this assignment?,83da208a64
Why do I get APIStatusError 402 from OpenRouter when I call responses.create() in homework?,cfb07a27d5
How can I stop the 402 error in responses.create() without changing my whole setup?,cfb07a27d5
What should I add to llm() in rag_helper.py so OpenRouter doesn’t reject my request?,cfb07a27d5
"In ToyAIKit, how do I pass a token limit to OpenAIClient to avoid this OpenRouter billing error?",cfb07a27d5
"My OpenRouter key works with OpenAI, but with OpenRouter I get 402 instead of 429 — what’s the fix?",cfb07a27d5
"In Module 1 homework, what does it mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
"If I already have the full documents, why should the search index be built from chunks for RAG?",b4300adeb1
"Should I use `index.fit(chunks)` or `index.fit(documents)` in the homework, and what's the difference?",b4300adeb1
"When the RAG pipeline searches the index, does it retrieve full records or only the split chunks?",b4300adeb1
How does using the chunk index change what gets added to the prompt in this assignment?,b4300adeb1
"For the homework, do I need my numeric result to exactly match one of the choices, or is being close enough?",5e4ca64cb5
"If my answer is a little off from the listed options, should I still pick the nearest one?",5e4ca64cb5
What usually causes small mismatches between my homework output and the multiple-choice answers?,5e4ca64cb5
My result is far from all the options — what should I check first before submitting?,5e4ca64cb5
Can differences in dataset version or rounding change which homework option I should select?,5e4ca64cb5
Where do I check first if a homework question seems confusing?,7d3a2e3505
"Is the course platform page enough, or should I also read the GitHub homework instructions?",7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub links should I open for the materials and homework?",7d3a2e3505
"Why does the homework sometimes use a different dataset than the lesson, even if it looks like the same topic?",7d3a2e3505
"If I still don’t get the task after reading the instructions, what should I post in Slack and how should I format it?",7d3a2e3505
How can I get token counts for the Module 1 homework if I'm using a provider that isn't OpenAI?,fe8fed31e6
Where do I find the input token or prompt token number in the response object for homework code?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my model provider doesn't give me token usage info at all?,fe8fed31e6
"For the multiple-choice questions in Module 1, what should I pick if my token count is only an estimate?",fe8fed31e6
"Why does the homework checker reject my repo link with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission to work?,bcdb8740ce
Should I submit the GitHub URL with .git at the end or just the normal repo link?,bcdb8740ce
How can I tell if the URL I pasted is actually reachable by the grader?,bcdb8740ce
What are the most common reasons a homework submission URL isn't accessible even though it works for me?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people say they preserve meaning?",69430a79a8
How does converting text or other non-numerical data into numbers help with semantic similarity?,69430a79a8
"If two inputs are similar, should their embedding vectors be close to each other in the vector space?",69430a79a8
Why are embeddings useful for comparing meaning instead of just matching exact words?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
Is there a quick way to suppress the sentence-transformers warning in Module 2?,aa3f597424
"Do I need to upgrade sentence-transformers to stop the ""multi-qa-mpnet-base-dot-v1"" warning?",aa3f597424
What version of sentence-transformers should I install so that this warning disappears?,aa3f597424
What pip command can I run to fix the warning about this model version?,aa3f597424
Why did the lesson just use .dot(...) for similarity instead of calculating cosine similarity separately?,92cd22cada
"Are the embeddings from model.encode(...) already normalized, or do I need to normalize them myself?",92cd22cada
Why does dot product equal cosine similarity in the lesson but not in the homework?,92cd22cada
"For TF-IDF + SVD embeddings, do I have to normalize the vectors before comparing them?",92cd22cada
"When is it okay to use plain dot product as cosine similarity, and when is it not?",92cd22cada
"In vector search, do I need to embed the question, the answer, or both?",5c4a8d2e60
"Is it better to index only the answer text, only the question, or combine them together?",5c4a8d2e60
Why would embedding just the answer work for matching questions in a vector database?,5c4a8d2e60
When should I choose question embeddings over answer embeddings in this course project?,5c4a8d2e60
"Does combining the question with the answer usually improve retrieval, and what metric should I use to decide?",5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How is cosine similarity used to compare documents in text analysis?,db78580409
Why do people use cosine of the angle instead of plain distance for vector search?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity work with word counts or TF-IDF vectors?,db78580409
Why is cosine similarity just a dot product once the vectors are normalized?,95feb4e75b
"If embeddings and the query have unit length, why does matrix multiplication give cosine scores?",95feb4e75b
What changes in cosine similarity when all vectors are normalized first?,95feb4e75b
How does normalizing vectors make similarity search faster with matrix multiplication?,95feb4e75b
Why can we compare the query with all document embeddings using one matrix multiply?,95feb4e75b
"For Module 2, should I make another GitHub repo or just open a fresh codespace from my current repo?",1e829a8c6f
Why do people recommend a separate codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I set up Module 2 in a codespace and then delete it later, do I need to save my work somewhere first?",1e829a8c6f
"Can I keep using my old Module 1 codespace for vector search, or is it better to start a new one because of the dependencies?",1e829a8c6f
"When you say the codespace is based on my existing repository, does that mean I don't have to create a new repo at all for Module 2?",1e829a8c6f
"Why does download.py get stuck at 0% when pulling model.onnx from HuggingFace, and is there a workaround?",29b69fbe0b
"If the model download freezes in download.py, can I grab model.onnx manually instead of waiting?",29b69fbe0b
What should I do when HuggingFace downloading seems blocked or super slow for model.onnx?,29b69fbe0b
Can I download model.onnx in the browser and place it somewhere so download.py stops trying to fetch it again?,29b69fbe0b
Where exactly should I save model.onnx if I download it myself so the script will use the local file?,29b69fbe0b
Why do the matrix multiply and the loop-based vector search return slightly different scores even though they should be the same?,e889793af9
Is it normal that np.allclose says False when comparing X.dot(v_query) with my for-loop dot product?,e889793af9
Why do the two vector search implementations match mathematically but still differ in the last decimal places?,e889793af9
"Does the optimized BLAS version of dot product compute something different from a Python loop, or is it just rounding?",e889793af9
How should I compare the vector search outputs if exact equality keeps failing even though both methods seem correct?,e889793af9
Why am I getting `IndexError: list index out of range` when I try to grab the top chunk from my vector search results?,1a7b27c4df
What usually causes the best-chunk lookup to fail with an index error in Module 2?,1a7b27c4df
How do I make sure the embeddings line up with the chunk list so I don't get this out-of-range error?,1a7b27c4df
Is it a problem if the number of vectors I generate is different from the number of document chunks?,1a7b27c4df
What’s the right way to build embeddings from chunks so accessing the selected chunk works correctly?,1a7b27c4df
Why can FastEmbed still throw an SSL or network error if the model is already in the cache?,6609b934b6
How do I make FastEmbed load a model fully offline after I’ve downloaded it once?,6609b934b6
What’s the right way to use the same cache folder inside Docker so FastEmbed can find the model?,6609b934b6
Do SparseTextEmbedding and TextCrossEncoder support local cache loading too?,6609b934b6
When should I use specific_model_path instead of cache_dir for FastEmbed?,6609b934b6
Why does my Module 2 Q2 cosine similarity not match any multiple-choice option?,eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embeddings, or something else?",eaa17a9dc6
Could the wrong embedding model be the reason my cosine score is way off in the homework?,eaa17a9dc6
"For Q2, what exactly should I embed in the document: the content text or the whole record?",eaa17a9dc6
"If my cosine similarity is close but not exact, should I just choose the nearest answer?",eaa17a9dc6
How do I set up Gemini so Kestra can use it in the module?,3860e5fe8b
Do I need both a normal Gemini key and a SECRET_GEMINI_API_KEY for the flows?,3860e5fe8b
What’s the right way to add OpenAI and Tavily secrets before running Kestra?,3860e5fe8b
Why does Kestra want the API key base64 encoded and prefixed with SECRET_?,3860e5fe8b
"Inside a Kestra flow, how should I reference the Gemini secret without exposing the key?",3860e5fe8b
My Kestra AI Copilot keeps saying it can only help with creating Kestra flows — what am I missing?,04440cab11
Do I need to set a different Gemini key for the Copilot than the one my flows use in Kestra?,04440cab11
Why is Kestra AI Copilot acting like it has no Gemini access even though I already added a secret key?,04440cab11
What should I check if the Copilot answer is just a canned refusal instead of a real response?,04440cab11
Could this be a key issue or a Gemini quota problem if Kestra Copilot suddenly stops working?,04440cab11
Why does my Kestra flow say the Gemini key is invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could the base64 secret be wrong if I used echo instead of echo -n when encoding the API key?,c8ca21af33
"Do I need to restart Kestra after exporting the secret env vars, or is just setting them enough?",c8ca21af33
"When I use the key inside a flow, should I call secret('SECRET_GEMINI_API_KEY') or secret('GEMINI_API_KEY')?",c8ca21af33
"Is there a better way to load my API keys for Kestra, like using a .env file with docker compose?",c8ca21af33
